;Wavenumber;10.12.D;10.12.G;10.13.G;12.1.D;12.1.G;12.4.D;12.4.G;12.5.D;12.5.G
102;3898,0;99,872526;96,917043;99,770891;100,013461;97,003472;102,300334;97,310717;100,097992;98,912202
103;3897,0;99,864357;96,895226;99,74101;99,982587;96,997427;102,243209;97,23938;100,043141;98,872698
104;3896,0;99,865629;96,876462;99,713188;99,950026;96,960379;102,188105;97,170591;99,99201;98,816685
105;3895,0;99,873943;96,866254;99,696841;99,916757;96,903758;102,146359;97,115689;99,958236;98,755929
106;3894,0;99,889126;96,860924;99,701521;99,892689;96,849766;102,133966;97,093752;99,953156;98,710948
107;3893,0;99,907479;96,86051;99,730874;99,888452;96,827418;102,145315;97,117009;99,969886;98,699925
108;3892,0;99,914138;96,866959;99,774266;99,897815;96,852316;102,145727;97,163932;99,97872;98,717608
109;3891,0;99,898076;96,869212;99,809133;99,904373;96,904542;102,113318;97,191744;99,958802;98,738122
110;3890,0;99,878927;96,854188;99,81962;99,913822;96,951322;102,082466;97,197214;99,934532;98,747655
111;3889,0;99,882294;96,839087;99,810663;99,943215;96,986538;102,092406;97,224452;99,944993;98,756019
112;3888,0;99,904467;96,851746;99,802058;99,987977;97,019292;102,141909;97,302728;99,993654;98,774561
113;3887,0;99,92055;96,891322;99,80886;100,023609;97,046327;102,201172;97,398125;100,04751;98,797132
114;3886,0;99,909159;96,92344;99,825425;100,028359;97,0536;102,233488;97,439914;100,067609;98,807336
115;3885,0;99,876794;96,91178;99,833948;100,007085;97,035816;102,230865;97,40349;100,048855;98,804051
116;3884,0;99,862223;96,863207;99,825751;99,991604;97,009279;102,227045;97,340122;100,030496;98,805681
117;3883,0;99,888236;96,827138;99,805166;99,996179;96,996316;102,236096;97,306554;100,040963;98,822863
118;3882,0;99,933573;96,831102;99,780334;100,001313;96,993224;102,241131;97,303862;100,065024;98,842092
119;3881,0;99,958838;96,854284;99,756779;99,983557;96,979683;102,227952;97,295472;100,072353;98,841468
120;3880,0;99,943679;96,859879;99,738056;99,941398;96,952068;102,196991;97,261352;100,051487;98,816845
121;3879,0;99,910247;96,832389;99,730005;99,903079;96,927988;102,17314;97,223322;100,02444;98,788001
122;3878,0;99,897703;96,793853;99,739606;99,901162;96,929326;102,180262;97,217274;100,021411;98,776473
123;3877,0;99,914056;96,777104;99,769779;99,93276;96,961323;102,206084;97,250683;100,042607;98,784628
124;3876,0;99,935236;96,789305;99,813425;99,963831;97,005242;102,220988;97,292993;100,065626;98,797864
125;3875,0;99,933136;96,811646;99,851224;99,964426;97,035382;102,20293;97,302741;100,070081;98,801557
126;3874,0;99,908914;96,816002;99,865486;99,941649;97,037276;102,168209;97,273963;100,058229;98,797451
127;3873,0;99,899701;96,794117;99,855885;99,93734;97,017757;102,170983;97,250943;100,059983;98,799229
128;3872,0;99,928724;96,77622;99,832787;99,976496;97,000116;102,227535;97,275932;100,09306;98,807689
129;3871,0;99,962468;96,796751;99,802622;100,029367;96,999617;102,273218;97,327841;100,127943;98,800432
130;3870,0;99,945947;96,841084;99,76571;100,042129;97,004134;102,239885;97,342798;100,122073;98,760612
131;3869,0;99,881553;96,855255;99,725037;100,007997;96,98749;102,162212;97,307627;100,085755;98,709879
132;3868,0;99,829364;96,831533;99,691643;99,974825;96,952844;102,130123;97,283869;100,074445;98,687763
133;3867,0;99,820307;96,825398;99,68005;99,971989;96,929128;102,155142;97,314808;100,105111;98,705097
134;3866,0;99,83781;96,867704;99,697601;99,990432;96,922888;102,194026;97,366215;100,142847;98,739084
135;3865,0;99,862922;96,929055;99,734301;100,016568;96,915866;102,228682;97,380375;100,156843;98,767318
136;3864,0;99,884832;96,970769;99,767381;100,035855;96,902418;102,258403;97,35129;100,14154;98,789037
137;3863,0;99,895185;96,989556;99,782692;100,028826;96,89773;102,26864;97,319416;100,105187;98,81099
138;3862,0;99,891637;97,003317;99,785223;99,98772;96,913158;102,237833;97,310078;100,059767;98,828252
139;3861,0;99,873939;97,014657;99,789352;99,925627;96,93976;102,163695;97,315114;100,014954;98,833944
140;3860,0;99,84333;97,017704;99,806462;99,868245;96,965494;102,07301;97,320818;99,980201;98,831463
141;3859,0;99,795425;97,019564;99,834964;99,829227;96,987571;101,986572;97,320401;99,95617;98,82881
142;3858,0;99,727604;97,028817;99,856227;99,809242;97,006231;101,915823;97,313014;99,938986;98,829485
143;3857,0;99,652509;97,038286;99,843897;99,812316;97,016419;101,878966;97,299143;99,935507;98,832176
144;3856,0;99,604617;97,029257;99,781907;99,853293;97,014056;101,906978;97,288318;99,967798;98,837394
145;3855,0;99,608303;97,011813;99,686762;99,928753;97,018355;101,992901;97,307175;100,043696;98,847917
